anime_id,name,genre,type,episodes,rating
32281,Kimi no Na wa.,5.994175137362637,6.334060552092609,1,9.37
5114,Fullmetal Alchemist: Brotherhood,5.8716989855605215,6.899247579529737,64,9.26
28977,Gintama°,5.953125388696917,6.899247579529737,51,9.25
9253,Steins;Gate,6.2926829268292686,6.899247579529737,24,9.17
9969,Gintama&#039;,5.953125388696917,6.899247579529737,51,9.16
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,6.150838339789876,6.899247579529737,10,9.15
11061,Hunter x Hunter (2011),6.265871638444516,6.899247579529737,148,9.13
820,Ginga Eiyuu Densetsu,5.397230886491558,6.464966949952785,110,9.11
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,5.953125388696917,6.334060552092609,1,9.1
15417,Gintama&#039;: Enchousen,5.953125388696917,6.899247579529737,13,9.11
4181,Clannad: After Story,5.896365218115219,6.899247579529737,24,9.06
28851,Koe no Katachi,6.2983022995523,6.334060552092609,1,9.05
918,Gintama,5.953125388696917,6.899247579529737,201,9.04
2904,Code Geass: Hangyaku no Lelouch R2,5.770706418405577,6.899247579529737,25,8.98
28891,Haikyuu!! Second Season,6.150838339789876,6.899247579529737,25,8.93
199,Sen to Chihiro no Kamikakushi,5.999359495989243,6.334060552092609,1,8.93
23273,Shigatsu wa Kimi no Uso,6.131487777037778,6.899247579529737,22,8.92
24701,Mushishi Zoku Shou 2nd Season,6.039474620074344,6.899247579529737,10,8.88
12355,Ookami Kodomo no Ame to Yuki,5.866848484848485,6.334060552092609,1,8.84
1575,Code Geass: Hangyaku no Lelouch,5.779042041116199,6.899247579529737,25,8.83
263,Hajime no Ippo,6.131405067594487,6.899247579529737,75,8.83
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,6.1051519572270125,6.464966949952785,4,8.83
1,Cowboy Bebop,5.83462077492596,6.899247579529737,26,8.82
30276,One Punch Man,6.022534770885147,6.899247579529737,12,8.82
164,Mononoke Hime,6.019685809612727,6.334060552092609,1,8.81
7311,Suzumiya Haruhi no Shoushitsu,6.044407384124111,6.334060552092609,1,8.81
17074,Monogatari Series: Second Season,5.64050140450294,6.899247579529737,26,8.8
21939,Mushishi Zoku Shou,6.039474620074344,6.899247579529737,10,8.8
457,Mushishi,6.039474620074344,6.899247579529737,26,8.78
2001,Tengen Toppa Gurren Lagann,5.908944502560725,6.899247579529737,27,8.78
245,Great Teacher Onizuka,6.098669508621044,6.899247579529737,43,8.77
32983,Natsume Yuujinchou Go,5.865387440337441,6.899247579529737,13,8.76
5258,Hajime no Ippo: New Challenger,6.131405067594487,6.899247579529737,26,8.75
28957,Mushishi Zoku Shou: Suzu no Shizuku,6.039474620074344,6.334060552092609,1,8.75
11665,Natsume Yuujinchou Shi,5.865387440337441,6.899247579529737,13,8.75
431,Howl no Ugoku Shiro,6.107035855758166,6.334060552092609,1,8.74
11741,Fate/Zero 2nd Season,5.969169872580251,6.899247579529737,12,8.73
31757,Kizumonogatari II: Nekketsu-hen,5.5398996705600485,6.334060552092609,1,8.73
19,Monster,6.011608561860099,6.899247579529737,74,8.72
12365,Bakuman. 3rd Season,6.1311788771182965,6.899247579529737,25,8.71
1535,Death Note,6.039221400523553,6.899247579529737,37,8.71
32366,Gintama°: Aizome Kaori-hen,6.106190019193858,6.464966949952785,2,8.69
30654,Ansatsu Kyoushitsu (TV) 2nd Season,6.096050235712532,6.899247579529737,25,8.68
20583,Haikyuu!!,6.150838339789876,6.899247579529737,25,8.68
19647,Hajime no Ippo: Rising,6.131405067594487,6.899247579529737,25,8.68
4282,Kara no Kyoukai 5: Mujun Rasen,6.10235939575798,6.334060552092609,1,8.68
10379,Natsume Yuujinchou San,5.865387440337441,6.899247579529737,13,8.67
22135,Ping Pong The Animation,5.690421245421246,6.899247579529737,11,8.67
21329,Mushishi Special: Hihamukage,6.039474620074344,6.1549164851125635,1,8.66
31043,Boku dake ga Inai Machi,5.79212148962149,6.899247579529737,12,8.65
7785,Yojouhan Shinwa Taikei,5.874749287749288,6.899247579529737,11,8.65
3297,Aria The Origination,6.074210150283322,6.899247579529737,13,8.64
30709,Kamisama Hajimemashita: Kako-hen,5.479939788341324,6.464966949952785,4,8.64
6114,Rainbow: Nisha Rokubou no Shichinin,6.217776677978884,6.899247579529737,26,8.64
31240,Re:Zero kara Hajimeru Isekai Seikatsu,5.93847159090909,6.899247579529737,25,8.64
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,5.754136163625153,6.334060552092609,1,8.64
5300,Zoku Natsume Yuujinchou,5.865387440337441,6.899247579529737,13,8.64
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,5.829396575646576,6.899247579529737,11,8.62
24415,Kuroko no Basket 3rd Season,6.143908501660421,6.899247579529737,25,8.62
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,6.2926829268292686,6.334060552092609,1,8.61
10408,Hotarubi no Mori e,5.899810057997557,6.334060552092609,1,8.61
28171,Shokugeki no Souma,6.311481481481482,6.899247579529737,24,8.61
32995,Yuri!!! on Ice,5.929642400146239,6.899247579529737,12,8.61
21899,Gintama: Yorinuki Gintama-san on Theater 2D,5.953125388696917,6.334060552092609,2,8.6
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,6.060265592771742,6.899247579529737,24,8.6
7472,Gintama Movie: Shinyaku Benizakura-hen,5.953125388696917,6.334060552092609,1,8.59
777,Hellsing Ultimate,5.232368298891884,6.464966949952785,10,8.59
22535,Kiseijuu: Sei no Kakuritsu,5.736209036406403,6.899247579529737,24,8.59
28735,Shouwa Genroku Rakugo Shinjuu,6.29290925201578,6.899247579529737,13,8.59
12431,Uchuu Kyoudai,5.698094632954705,6.899247579529737,99,8.59
28805,Bakemono no Ko,5.909760397830018,6.334060552092609,1,8.58
578,Hotaru no Haka,6.187220022624434,6.334060552092609,1,8.58
16894,Kuroko no Basket 2nd Season,6.143908501660421,6.899247579529737,25,8.58
5028,Major S5,6.0109606231500425,6.899247579529737,25,8.58
21,One Piece,6.1545800925871195,6.899247579529737,12,8.58
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,5.8532718629068565,6.899247579529737,26,8.57
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,6.025618000374405,6.899247579529737,39,8.57
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),6.087119736448038,6.334060552092609,1,8.57
17389,Kingdom 2nd Season,5.6257551794302625,6.899247579529737,39,8.57
170,Slam Dunk,6.150838339789876,6.899247579529737,101,8.56
10162,Usagi Drop,6.125174158429539,6.899247579529737,11,8.56
18617,Girls und Panzer der Film,5.366785714285714,6.334060552092609,1,8.55
32182,Mob Psycho 100,5.74437094278324,6.899247579529737,12,8.55
877,Nana,5.898440239066519,6.899247579529737,47,8.55
2251,Baccano!,5.992421290039292,6.899247579529737,13,8.54
24687,Mushishi Zoku Shou: Odoro no Michi,6.039474620074344,6.1549164851125635,1,8.54
